school_name,district,school_code,dist_code,total_feedback,rating_1,rating_2,rating_3,rating_4,rating_5,total_rated,reasons_with_text
"GOVT. B.C. COLLEGE GIRLS HOSTEL, TENALI",GUNTUR,0616-2503-005,506,10,0,0,0,0,10,10,0
GOVT.B.C.COLLEGE BOYS HOSTEL-PONNUR,GUNTUR,0617-2503-007,506,10,0,0,0,0,10,10,5
GTW HOSTEL(GIRLS) GUNTUR,GUNTUR,0601-2403-004,506,10,0,0,0,1,8,9,2
S.W.COLLEGE BOYS HOSTEL I HEYER HALL COMPOUND,GUNTUR,0601-2402-025,506,30,0,0,0,13,17,30,0
S.W.COLLEGE BOYS HOSTEL- II HEYER HALL COMPOUND,GUNTUR,0601-2402-028,506,30,0,0,0,0,30,30,1
SOCIAL WELFARE GIRLS HOSTEL PRATHIPADU,GUNTUR,0601-2402-008,506,10,0,0,0,0,10,10,0
"APR SCHOOL(G), TUNI",KAKINADA,28140601612,746,20,0,0,0,0,20,20,0
"Dr. B. R. Ambedkar Gurukulam,CHOLLANGIPETA",KAKINADA,28143700204,746,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,JAGANNAIKPUR at P VENKATAPURAM",KAKINADA,28142391024,746,701,22,5,12,64,590,693,158
"Dr. B. R. Ambedkar Gurukulam,JAGGAMPETA",KAKINADA,28141801614,746,47,0,1,2,10,33,46,3
"Dr. B. R. Ambedkar Gurukulam/JC,A.MALLAVARAM",KAKINADA,28146004202,746,20,0,0,0,0,20,20,0
"Dr. B. R. Ambedkar Gurukulam/JC,ELESWARAM",KAKINADA,28141100716,746,40,0,0,0,0,40,40,5
"Dr. B. R. Ambedkar Gurukulam/JC,PITHAPURAM",KAKINADA,28142190747,746,30,3,3,2,2,20,30,2
"Dr. B. R. Ambedkar Gurukulam/JC,S.M. NAGAR(KAKINADA)",KAKINADA,28142495220,746,1188,2,17,14,57,1081,1171,244
"Dr. B. R. Ambedkar Gurukulam/JC,TUNI",KAKINADA,28140601512,746,10,0,0,0,0,10,10,0
MJPAPBCWR PITHAPURAM(G),KAKINADA,28347101366,746,10,0,0,0,0,10,10,0
New Nabard School Tuni,KAKINADA,nabard001,746,20,0,0,0,0,20,20,0
PMS COLLEGE HOSTEL(GIRLS) DIVILI,KAKINADA,0308-2403-001,746,20,6,0,0,0,14,20,0
PMS COLLEGE HOSTEL(GIRLS)-1 KAKINADA,KAKINADA,0301-2403-003,746,10,0,0,0,7,2,9,10
"SW Girls IWHC, PITHAPURAM",KAKINADA,0309-2402-009,746,9,0,0,0,2,7,9,2
SWBH 2 KAKINADA,KAKINADA,0301-2402-004,746,10,0,0,0,0,10,10,1
APRJC  NIMMAKURU,KRISHNA,28163901137,510,10,0,0,0,0,10,10,0
APRS MACHILIPATNAM,KRISHNA,28163791212,510,11,0,0,0,0,4,4,11
APRS NIMMAKURU,KRISHNA,28163902606,510,10,0,0,0,0,10,10,0
"BC COLLEGE BOYS HOSTEL, BANTUMILLI",KRISHNA,0504-2503-001,510,10,0,0,0,4,6,10,0
"BC COLLEGE BOYS HOSTEL, GUDLAVALLERU",KRISHNA,0506-2503-003,510,10,0,0,0,0,10,10,0
"BC COLLEGE BOYS HOSTEL, MACHILIPATNAM",KRISHNA,0501-2503-003,510,10,0,0,0,0,10,10,0
"BC COLLEGE GIRLS  HOSTEL, GUDIVADA",KRISHNA,0506-2503-001,510,10,0,0,0,2,7,9,4
"BC GIRLS HOSTEL, AVANIGADDA",KRISHNA,0502-2501-008,510,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,PAMARRU",KRISHNA,28163901204,510,30,0,0,0,0,30,30,0
"Dr. B. R. Ambedkar Gurukulam/JC,CHELLAPALLI",KRISHNA,28163200916,510,189,2,2,6,15,164,189,21
"Dr. B. R. Ambedkar Gurukulam/JC,GUDIVADA (BCRS)",KRISHNA,28164290161,510,40,0,0,0,4,36,40,0
"Dr. B. R. Ambedkar Gurukulam/JC,NANDAMURU at Balliparru",KRISHNA,28164402308,510,30,0,2,2,0,26,30,5
"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",KRISHNA,28163702004,510,1115,2,8,27,152,919,1108,23
"Dr. B. R. Ambedkar Gurukulam/JC,VEERAPANENIGUDEM",KRISHNA,28162102014,510,10,0,0,0,0,10,10,0
SW COLLEGE GIRLS HOSTEL AVANIGADDA,KRISHNA,0502-2402-010,510,10,0,0,0,0,10,10,0
A.P MODEL SCHOOL NANDAVARAM,KURNOOL,28210401611,511,10,0,0,0,0,10,10,0
A.P MODEL SCHOOL ORVAKAL,KURNOOL,28211701115,511,18,0,2,0,14,2,18,18
"APBCWRS ,AREKAL",KURNOOL,28212391302,511,10,0,0,0,0,10,10,0
APRJC  BANAVASI,KURNOOL,28212101708,511,10,1,0,0,1,8,10,1
APRS BANAVASI,KURNOOL,28212101705,511,70,0,2,7,3,58,70,0
APRS KALVABUGGA,KURNOOL,28211701707,511,40,0,0,1,15,24,40,1
APRS KURNOOL (G),KURNOOL,28211800471,511,60,0,1,4,2,52,59,11
APRS PATHIKONDA,KURNOOL,28215100728,511,10,0,0,0,0,10,10,0
"APTWRS(G),ALURU",KURNOOL,28212501425,511,11,0,2,2,4,2,10,10
"APTWRS(G),KURNOOL",KURNOOL,28211890570,511,10,0,0,0,0,10,10,0
"DR.B.R.AMBEDKAR GURUKULAM,VELDURTHY",KURNOOL,28212901017,511,2607,10,18,51,300,2204,2583,196
"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",KURNOOL,28211801307,511,872,31,18,68,167,565,849,148
"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",KURNOOL,28212391303,511,589,19,8,39,79,431,576,135
"Dr. B. R. Ambedkar Gurukulam/JC,ALURU ( ARIKERA )",KURNOOL,28212501503,511,100,0,0,18,10,72,100,22
"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",KURNOOL,28210500908,511,259,5,7,5,35,206,258,27
"Dr. B. R. Ambedkar Gurukulam/JC,KAMBALAPADU",KURNOOL,28212801007,511,3094,13,3,73,302,2702,3093,32
"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",KURNOOL,28211890453,511,2877,38,37,132,399,2242,2848,339
"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",KURNOOL,28215100734,511,799,3,2,5,11,778,799,3
"GOVERNMENT SW BOYS HOSTEL, KAMBALAPADU",KURNOOL,0907-2402-005,511,20,0,0,0,3,17,20,0
"GOVT BC BOYS HOSTEL LADDAGIRI NO.II, KURNOOL",KURNOOL,0908-2503-005,511,10,0,0,0,0,10,10,0
GOVT BC BOYS HOSTEL MEEDIVEMULA,KURNOOL,0901-2503-013,511,10,0,0,0,2,8,10,0
"GOVT BC BOYS HOSTEL, C.BELGAL",KURNOOL,0908-2503-006,511,10,0,0,3,6,1,10,0
"GOVT BC BOYS HOSTEL, KURNOOL",KURNOOL,0901-2503-005,511,40,0,0,0,2,37,39,1
"GOVT BC GIRLS HOSTEL, GONEGANDLA",KURNOOL,0914-2503-004,511,10,0,0,0,0,10,10,0
"GOVT BC PREMATRIC BOYS HOSTEL, KAMBALAPADU",KURNOOL,0907-2503-008,511,10,0,0,0,0,10,10,1
"GOVT SW BOYS HOSTEL, PEDDAPADU",KURNOOL,0901-2402-011,511,19,0,0,0,3,16,19,0
GOVT SW HOSTEL RS PENDEKAL,KURNOOL,0913-2402-007,511,10,0,0,0,0,10,10,3
"GOVT. SW ANANDANILAYAM (GIRLS), KURNOOL",KURNOOL,0901-2402-015,511,10,0,0,0,0,10,10,0
"GOVT. SW BOYS HOSTLE, C-BELAGAL",KURNOOL,0908-2402-003,511,29,0,0,0,0,29,29,0
GTW ASHRAM SCHOOL(BOYS) ALUR,KURNOOL,0904-2403-002,511,10,0,0,0,0,10,10,0
"Govt. SW Boys Hostel No.2, Pathikonda",KURNOOL,0913-2402-002,511,30,0,0,0,12,18,30,0
"Govt. SW Girls Hostel, Pathikonda",KURNOOL,0913-2402-003,511,10,0,0,0,0,10,10,0
"Govt. SW Girls Hostel, Ullindakonda",KURNOOL,0901-2402-012,511,80,0,1,3,9,67,80,2
INTEGRATED WELFARE HOSTEL COMPLEX FOR BOYS GUDUR,KURNOOL,0908-2402-001,511,20,0,0,0,1,19,20,0
INTEGRATED WELFARE HOSTEL COMPLEX FOR GIRLS ADONI,KURNOOL,0902-2402-008,511,10,0,0,0,1,9,10,0
IWHC NANDAVARAM,KURNOOL,0914-2402-003,511,10,0,0,0,0,10,10,0
KGBV  C.BELAGAL BC COLONY,KURNOOL,28210500913,511,20,0,0,0,1,19,20,0
KGBV  ORVAKAL,KURNOOL,28211701111,511,11,0,0,0,1,9,10,3
KGBV GUDUR,KURNOOL,28210600629,511,20,0,0,0,0,20,20,0
KGBV HOLAGUNDA,KURNOOL,28212401008,511,10,0,0,0,1,9,10,0
KGBV KODUMUR,KURNOOL,28211900338,511,19,0,0,0,2,17,19,5
KGBV KOWTHALAM,KURNOOL,28210102719,511,10,0,0,0,1,9,10,0
KGBV KRISHNAGIRI,KURNOOL,28212800505,511,20,0,0,0,7,13,20,1
KGBV LAKSHMIPURAM KALLUR,KURNOOL,28211800465,511,20,0,0,0,1,19,20,0
KGBV VELDURTHY,KURNOOL,28212901034,511,20,0,0,0,0,20,20,0
KGBVMINORITY ADONI,KURNOOL,28212391337,511,10,0,0,0,0,10,10,0
"MJBCWREIS, Gorantla",KURNOOL,28211900906,511,30,0,0,0,9,21,30,1
"MJBCWREIS, Veldurthy",KURNOOL,28212901039,511,28,0,0,1,0,27,28,1
SW BOYS HOSTEL GARGEYAPURAM,KURNOOL,0901-2402-006,511,10,0,0,0,0,10,10,0
SW BOYS HOSTEL NO.I ADONI,KURNOOL,0902-2402-002,511,10,0,0,0,0,10,10,0
SW BOYS HOSTEL YERUKALACHERUVU,KURNOOL,0907-2402-006,511,10,0,0,0,0,10,10,0
SW COLLEGE GIRLS HOSTEL NO.2 ADONI,KURNOOL,0902-2402-010,511,10,0,0,0,0,10,10,0
SW GIRLS HOSTEL ALUR,KURNOOL,0904-2402-003,511,10,0,0,0,3,7,10,0
SW GIRLS HOSTEL GUDUR,KURNOOL,0908-2402-004,511,19,0,0,0,3,16,19,0
SW GIRLS HOSTEL KODUMUR,KURNOOL,0908-2402-005,511,10,0,0,0,5,5,10,10
SW GIRLS HOSTEL ORVAKAL,KURNOOL,0901-2402-007,511,60,0,0,0,0,60,60,0
"SW Integrated Welfare Hostel Complex, Pathikonda",KURNOOL,0913-2402-001,511,51,11,0,0,3,37,51,0
"APTWRS(B),YERRAGONDAPALEM",MARKAPURAM,28180101763,790,10,0,3,0,7,0,10,6
"APTWRS(PTG-B),YERRAGONDAPALEM",MARKAPURAM,28180101718,790,10,0,0,0,0,10,10,0
GOVT SW BOYS HOSTEL TARLUPADU,MARKAPURAM,0709-2402-008,790,10,0,0,0,0,10,10,0
"GOVT SW BOYS HOSTEL, BESTHAVARIPETA",MARKAPURAM,0704-2402-005,790,10,0,0,0,0,10,10,0
"GOVT SW BOYS HOSTEL, GAJJALAKONDA",MARKAPURAM,0709-2402-001,790,30,0,0,0,0,30,30,0
"GOVT SW BOYS HOSTEL, TRIPURANTHAKAM",MARKAPURAM,0713-2402-008,790,10,0,0,0,0,10,10,0
"GOVT SW BOYS HOSTEL, Y.D.PADU",MARKAPURAM,0709-2402-002,790,10,0,0,0,0,10,10,0
GOVT SW BOYS HOSTEL-2  CUMBUM,MARKAPURAM,0704-2402-004,790,20,0,0,0,0,20,20,0
"GOVT SW BOYS HOSTEL-I, CUMBUM",MARKAPURAM,0704-2402-003,790,20,0,0,0,0,20,20,0
"GOVT SW BOYS HOSTEL-I, GIDDALUR",MARKAPURAM,0706-2402-003,790,9,0,0,0,0,9,9,2
"GOVT SW COLLEGE GIRLS HOSTEL, CUMBUM",MARKAPURAM,0704-2402-013,790,10,0,0,0,0,10,10,0
GOVT SW GIRLS HOSTEL TRIPURANTHAKAM,MARKAPURAM,0713-2402-009,790,10,0,0,0,0,10,10,0
"GOVT. B.C.BOYS HOSTEL,II - PAMUR",MARKAPURAM,0708-2503-004,790,19,0,0,0,2,17,19,0
GOVT. B.C.BOYS HOSTEL-BESTAVARI PETA,MARKAPURAM,0704-2503-002,790,10,0,0,0,0,10,10,0
"GOVT. B.C.GIRLS HOSTEL,SEELAMVARIPALLI",MARKAPURAM,0708-2503-003,790,10,0,0,0,0,10,10,0
KGBV  RACHARLA,MARKAPURAM,28183501019,790,10,0,0,1,0,9,10,1
KGBV MARKAPUR,MARKAPURAM,28180990461,790,10,0,0,0,0,10,10,0
KGBV-TARLUPADU,MARKAPURAM,28181001415,790,10,0,0,0,0,10,10,3
MJBCWREIS Kanigiri,MARKAPURAM,28187100303,790,7,0,0,0,1,6,7,1
"MJBCWREIS, Yerragondapalem",MARKAPURAM,28180101766,790,10,0,0,0,0,10,10,0
SW GIRLS HOSTEL BESTHAVARIPETA,MARKAPURAM,07062402004_1,790,10,0,0,0,0,10,10,0
A.P MODEL SCHOOL B.ATMAKUR,NANDYAL,28213300825,755,30,0,0,0,0,30,30,0
AP MODEL SCHOOL OWK,NANDYAL,28214701025,755,10,0,0,0,0,10,10,0
APBCW Residential School Kothapeta,NANDYAL,28214403609,755,10,0,0,0,1,9,10,1
"APBCWRS ,NERAWADA",NANDYAL,28213100905,755,20,0,0,0,1,19,20,0
"APTWRS(B),SRISAILAM",NANDYAL,28211290809,755,31,0,0,3,3,24,30,13
"APTWRS(G),BAIRLUTY",NANDYAL,28211101203,755,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",NANDYAL,28213800944,755,442,1,8,9,12,412,442,31
"Dr. B. R. Ambedkar Gurukulam,DHONE(B)",NANDYAL,51822200000,755,140,0,1,0,18,119,138,26
"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",NANDYAL,28210901006,755,2826,30,36,92,197,2456,2811,525
"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",NANDYAL,28213800932,755,1144,20,15,49,145,904,1133,98
"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",NANDYAL,28211501201,755,763,9,17,20,71,640,757,51
"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",NANDYAL,28214301425,755,1139,17,24,62,217,805,1125,110
"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",NANDYAL,28214900639,755,577,9,10,16,52,485,572,64
"GOVERNMENT SW GIRLS HOSTEL , DHONE",NANDYAL,0907-2402-003,755,30,0,0,1,4,25,30,0
GOVT BC BOYS HOSTEL BANDI ATMAKUR,NANDYAL,0912-2503-005,755,10,0,0,0,0,10,10,0
GOVT BC BOYS HOSTEL I KOTHAPETA KURNOOL,NANDYAL,0906-2503-003,755,10,0,0,0,0,10,10,0
GOVT BC BOYS HOSTEL KOTHAPALLI KURNOOL,NANDYAL,0905-2503-002,755,10,0,0,0,0,10,10,0
"GOVT BC BOYS HOSTEL, PEAPULLY",NANDYAL,0907-2503-004,755,10,0,0,0,1,9,10,10
GTW ASHRAM SCHOOL(BOYS) ALEBAD THANDA,NANDYAL,0907-2403-001,755,10,0,0,0,0,10,10,0
GTW ASHRAM SCHOOL(GIRLS) KOTTALACHERUVU,NANDYAL,0905-2403-001,755,11,0,3,6,2,0,11,0
GTW ASHRAM SCHOOL(GIRLS) PANYAM,NANDYAL,0912-2403-005,755,10,0,0,0,6,4,10,0
KGBV  PAMULAPADU,NANDYAL,28211400712,755,20,0,1,0,3,16,20,10
KGBV MIDTHUR,NANDYAL,28211600414,755,10,0,0,0,0,10,10,0
KGBV PAGIDYALA,NANDYAL,28210900914,755,10,0,0,0,1,9,10,10
KGBV VELGODE,NANDYAL,28211300533,755,8,0,0,0,0,7,7,1
"MJBCWREIS, Srisailam",NANDYAL,28211290808,755,70,0,0,0,0,70,70,16
"MJPAPBCWR School& Jr.College(B), Bhethamcherla",NANDYAL,28217100352,755,20,0,0,1,0,19,20,1
"MJPAPBCWR School& Jr.College(G), Dhone",NANDYAL,28217100353,755,40,5,5,9,13,8,40,10
SW COLLEGE GIRLS HOSTEL NO.1 NANDYALA,NANDYAL,0912-2402-013,755,10,0,0,0,0,10,10,1
SW GIRLS HOSTEL JUPADU BUNGALOW,NANDYAL,0911-2402-005,755,29,0,3,0,0,26,29,19
SW GIRLS HOSTEL PAMULAPADU,NANDYAL,0905-2402-007,755,10,0,0,0,0,10,10,0
"APTWRS(G),VISSANNAPETA",NTR,28161400933,749,20,0,0,0,0,20,20,0
Dr. B. R. Ambedkar Gurukulam School Muppalla,NTR,28160500708,749,350,5,2,5,22,310,344,89
"Dr. B. R. Ambedkar Gurukulam,NARSAPURAM",NTR,28161400921,749,60,0,0,0,0,60,60,10
"Dr. B. R. Ambedkar Gurukulam/JC,JAGGAIAHPETA",NTR,28160190223,749,30,0,0,0,0,30,30,1
"Dr. B. R. Ambedkar Gurukulam/JC,KRISHNARAOPALEM",NTR,28161101116,749,60,0,1,0,3,56,60,21
"Dr. B. R. Ambedkar Gurukulam/JC,KUNTAMUKKALA",NTR,28160900919,749,120,0,1,3,7,109,120,20
"Dr. B. R. Ambedkar Gurukulam/JC,TIRUVURU",NTR,28161300810,749,70,0,0,0,0,65,65,37
GOVT SW IWHC (BOYS )GAMPALAGUDEM,NTR,0514-2402-004,749,20,0,0,0,12,8,20,0
GTW ASHRAM SCHOOL(BOYS) A.KONDURU,NTR,0514-2403-001,749,10,0,0,0,0,10,10,0
"S.W.B.H., VATSAVAI",NTR,0507-2402-003,749,10,0,0,1,1,1,3,10
"S.W.G.H., KASTURIBAIPETA, VIJAYAWADA",NTR,0516-2402-011,749,20,1,0,0,1,18,20,1
SWR GOVT. DEGREE COLLEGE (G) KANCHIKACHERLA,NTR,swrgdc_kanchi,749,10,0,0,0,0,9,9,10
APRDC  NAGARJUNA SAGAR,PALNADU,52,751,10,0,0,0,0,10,10,0
APRJC  NAGARJUNA SAGAR,PALNADU,28170100225,751,20,0,0,0,2,18,20,0
APRS CHILALURIPETA,PALNADU,28174590252,751,9,0,0,0,0,9,9,0
"Dr. B. R. Ambedkar Gurukulam,GURAJALA",PALNADU,28170300850,751,20,0,0,0,1,19,20,0
"Dr. B. R. Ambedkar Gurukulam/JC,AMARAVATHI",PALNADU,28170901014,751,208,3,1,5,12,185,206,55
"Dr. B. R. Ambedkar Gurukulam/JC,ATCHAMPETA",PALNADU,28170700809,751,366,1,2,3,18,341,365,13
"Dr. B. R. Ambedkar Gurukulam/JC,KAREMPUDI",PALNADU,28171801009,751,78,0,0,0,0,78,78,22
"Dr. B. R. Ambedkar Gurukulam/JC,RAMAKRISHNAPURAM",PALNADU,28171501406,751,41,0,0,0,11,30,41,0
"Dr. B. R. Ambedkar Gurukulam/JC,UPPALAPADU AT NS PROJECT NUZENDLA",PALNADU,28174401105,751,191,1,1,16,14,159,191,13
"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",PALNADU,28170100210,751,328,24,10,21,52,205,312,89
GOVT B.C.COLLEGE BOYS HOSTEL  CHILAKALURIPET,PALNADU,0603-2503-004,751,10,0,0,0,0,10,10,0
"GOVT.B.C.COLLEGE BOYS HOSTEL ,NARASARAOPET",PALNADU,0610-2503-006,751,9,0,0,0,0,9,9,0
KGBV ATCHAMPET,PALNADU,28170700812,751,20,0,0,0,4,16,20,1
New Nabard School Sattenapalli,PALNADU,nabard004,751,10,0,0,0,0,10,10,0
New Nabard School Yedlapadu,PALNADU,nabard003,751,40,0,0,0,1,39,40,14
"APTWRJC(B),P.KONAVALASA",PARVATHIPURAM MANYAM,28121200706,743,53,6,19,15,3,10,53,12
"APTWRJC(G),BHADRAGIRI",PARVATHIPURAM MANYAM,28120207612,743,10,0,0,0,7,3,10,0
"APTWRS(B),BHADRAGIRI",PARVATHIPURAM MANYAM,28120207506,743,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,Parvathipuram Jr College",PARVATHIPURAM MANYAM,28120802104,743,468,12,3,23,61,367,466,23
"Dr. B. R. Ambedkar Gurukulam/JC,BHAMINI (DPIP)",PARVATHIPURAM MANYAM,28111401509,743,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam/JC,GURUGUBILLI (DPIP)",PARVATHIPURAM MANYAM,28120502805,743,3849,12,6,65,175,3586,3844,62
"Dr. B. R. Ambedkar Gurukulam/JC,KOMARADA (DPIP)",PARVATHIPURAM MANYAM,28120105410,743,854,12,9,31,204,589,845,134
"Dr. B. R. Ambedkar Gurukulam/JC,SALURU",PARVATHIPURAM MANYAM,28121191048,743,30,0,0,0,0,30,30,0
"EMRS(CO-EDU),KURUPAM",PARVATHIPURAM MANYAM,28120305828,743,10,0,1,0,0,9,10,2
GTW ASHRAM SCHOOL(BOYS) PARVATHIPURAM,PARVATHIPURAM MANYAM,2209-2403-014,743,10,0,0,0,0,10,10,0
GTW PM HOSTEL(BOYS) G.L.PURAM,PARVATHIPURAM MANYAM,2207-2403-042,743,9,0,0,0,0,9,9,0
GTW PM HOSTEL(GIRLS) G.L.PURAM,PARVATHIPURAM MANYAM,2207-2403-041,743,10,0,0,0,0,10,10,0
GTW ASHRAM SCHOOL(BOYS) RAJAVOMMANGI,POLAVARAM,0302-2403-027,791,10,0,0,0,0,10,10,0
APRS AMMANABROLU,PRAKASAM,28184500810,517,10,0,0,0,0,10,10,10
APRS SANTHANUTALAPAD,PRAKASAM,28184300713,517,30,0,0,0,0,30,30,10
"APTWRS(B),CHIMAKURTHY",PRAKASAM,28182901249,517,75,0,0,1,14,57,72,9
"Dr. B. R. Ambedkar Gurukulam,KONDEPI",PRAKASAM,28184201608,517,955,9,9,12,81,835,946,214
"Dr. B. R. Ambedkar Gurukulam,RACHERLA",PRAKASAM,28183501014,517,1916,4,3,7,36,1860,1910,147
"Dr. B. R. Ambedkar Gurukulam/JC,ARDHAVEEDU",PRAKASAM,28180800910,517,210,1,8,2,5,194,210,18
"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",PRAKASAM,28182901214,517,3091,30,18,36,129,2871,3084,424
"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",PRAKASAM,28183400916,517,3877,5,8,16,129,3716,3874,70
"Dr. B. R. Ambedkar Gurukulam/JC,DARSI",PRAKASAM,28181301119,517,174,1,1,1,0,169,172,19
"Dr. B. R. Ambedkar Gurukulam/JC,DUPADU",PRAKASAM,28180301510,517,700,4,2,10,38,646,700,53
"Dr. B. R. Ambedkar Gurukulam/JC,MARKAPUR (BCRS)",PRAKASAM,28180900709,517,70,0,0,0,0,70,70,2
"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",PRAKASAM,28185690704,517,748,27,12,31,88,586,744,90
"Dr. B. R. Ambedkar Gurukulam/JC,VELUGONDA",PRAKASAM,28181101305,517,130,0,0,0,1,128,129,11
"GOVT SW  BOYS HOSTEL-I, DONAKONDA",PRAKASAM,0705-2402-005,517,10,0,0,0,0,10,10,0
"GOVT SW BOYS HOSTEL, MADDIPADU",PRAKASAM,0701-2402-019,517,10,0,0,0,0,10,10,0
"GOVT SW BOYS HOSTEL-II, DARSI",PRAKASAM,0705-2402-002,517,10,0,0,1,0,9,10,0
GOVT SW COLLEGE BOYS HOSTEL -II ONGOLE,PRAKASAM,0701-2402-047,517,10,0,0,0,0,10,10,0
"GOVT SW COLLEGE BOYS HOSTEL, KANDUKUR",PRAKASAM,0707-2402-020,517,10,0,0,0,0,10,10,0
"GOVT SW COLLEGE GIRLS HOSTEL-II, ONGOLE",PRAKASAM,0701-2402-048,517,9,0,0,0,0,8,8,1
"GOVT SW COLLEGE GIRLS HOSTEL-III, ONGOLE",PRAKASAM,0701-2402-049,517,41,4,1,2,1,32,40,4
"GOVT SW GIRLS HOSTEL, CHIMAKURTHY",PRAKASAM,0701-2402-018,517,40,0,0,0,4,36,40,0
KGBV TALLURU,PRAKASAM,28181500516,517,18,0,0,0,0,18,18,0
KGBV ULAVAPADU,PRAKASAM,28185500427,517,10,0,0,0,0,10,10,0
KGBV. KBITRAGUNTA,PRAKASAM,28184902010,517,6,0,1,0,0,5,6,3
New Nabard School Kurichedu,PRAKASAM,nabard005,517,127,1,2,1,20,98,122,21
"APBCWRS ,GOLAGAMUDI",SPSR NELLORE,28193000910,515,10,0,0,0,1,9,10,0
"APTWRS(B),GUDURUatCHENNURU",SPSR NELLORE,28193290191,515,19,0,0,0,0,19,19,0
"APTWRS(B),KODAVALURU",SPSR NELLORE,28191701114,515,10,2,0,0,0,8,10,2
"APTWRS(G),KOTA",SPSR NELLORE,28193901242,515,10,0,1,0,4,5,10,1
"APTWRS(G),RAPUR",SPSR NELLORE,28192303148,515,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,ADURUPALLI",SPSR NELLORE,28192001408,515,1567,2,30,1,62,1458,1553,144
"Dr. B. R. Ambedkar Gurukulam,BOGOLE",SPSR NELLORE,28190600427,515,49,2,0,1,8,38,49,14
"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",SPSR NELLORE,28191800240,515,1455,16,20,42,289,1051,1418,357
"Dr. B. R. Ambedkar Gurukulam/JC,MUTHUKUR",SPSR NELLORE,28192901314,515,129,0,3,9,26,91,129,3
"Dr. B. R. Ambedkar Gurukulam/JC,PEDAPAVANI",SPSR NELLORE,28185302012,515,30,0,0,1,1,25,27,10
"Dr. B. R. Ambedkar Gurukulam/JC,RAPUR",SPSR NELLORE,28192301404,515,119,6,1,9,12,89,117,10
"Dr. B. R. Ambedkar Gurukulam/JC,SANGAM",SPSR NELLORE,28191901212,515,192,8,1,6,51,117,183,62
"Dr. B. R. Ambedkar Gurukulam/JC,SARVEPALLI AT KODURU",SPSR NELLORE,28192801606,515,431,16,4,12,81,314,427,187
"EMRS(CO-EDU),KODAVALURU",SPSR NELLORE,28191701107,515,20,0,0,2,5,13,20,1
"GOVT B.C GIRLS HOSTEL,GUDUR",SPSR NELLORE,0803-2503-010,515,18,0,0,0,8,10,18,1
"GOVT. B.C. BOYS HOSTEL NO. 1, M.M. PURAM",SPSR NELLORE,0812-2503-005,515,16,0,0,0,0,16,16,0
"GOVT. B.C. COLLEGE GIRLS HOSTEL, ATMAKUR",SPSR NELLORE,0804-2503-001,515,10,0,0,0,7,3,10,10
"GOVT. B.C. GIRLS HOSTEL, PODALAKUR",SPSR NELLORE,0812-2503-008,515,9,0,1,0,0,8,9,3
"GOVT.B.C.BOYS HOSTEL,GUDUR",SPSR NELLORE,0803-2503-008,515,19,0,0,0,0,19,19,1
GTW ASHRAM SCHOOL(GIRLS) GOLAGAMUDI,SPSR NELLORE,0801-0308-009,515,9,0,0,1,5,3,9,0
GTW PM COLLEGE HOSTEL(BOYS) NELLORE,SPSR NELLORE,0801-2403-015,515,10,0,0,0,0,10,10,0
GTW PM COLLEGE HOSTEL(GIRLS) GUDUR,SPSR NELLORE,0803-2403-014,515,19,0,0,0,0,19,19,0
"IWBHC, RAPUR",SPSR NELLORE,0814-2402-029,515,6,0,0,0,0,6,6,0
K.G.B.V.SCHOOL KAVALI,SPSR NELLORE,28190501036,515,10,0,0,1,4,5,10,0
KGBV KALIGIRI,SPSR NELLORE,28190700622,515,30,0,0,0,0,30,30,0
"MJBCWREIS, Kota",SPSR NELLORE,28193901220,515,50,1,0,15,11,23,50,1
MJPAPBCWRGudur,SPSR NELLORE,28193201409,515,29,0,0,2,12,15,29,0
SW COLLEGE BOYS HOSTEL ATMAKUR,SPSR NELLORE,0804-2402-018,515,10,0,0,3,3,4,10,0
