District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",EXTRACURRICULAR_RATING,No sports/games,420,546,2 (0% of feedbacks),My Child No Games ; No sports
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,DUPADU",CARETAKER_SATISFACTION,Hygiene and water issues,63,71,1 (1% of feedbacks),Neatenes ledu pellalaki and monkeys problem Health carring ledu 1.take water daily each studnts 3liters of water
KURNOOL,"DR.B.R.AMBEDKAR GURUKULAM,VELDURTHY",DIET_MENU_RATING,Food quality poor,206,254,1 (0% of feedbacks),It doesn't taste good if you eat it.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",TEACHER_COMMUNICATION_RATING,Lack of information,19,26,1 (4% of feedbacks),They are not giving information.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",OVERALL_SATISFACTION_RATING,Needs improvement,19,26,1 (4% of feedbacks),Many things need to be improved
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",DRINKING_WATER_RATING,Water problem,38,45,1 (2% of feedbacks),Water problem
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",HEALTHCARE_RATING,Cleanliness issues,62,74,1 (1% of feedbacks),Some places are not clean that's why childrens faces some health issues 1
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",SAFETY_MEASURES_RATING,Safety and cleanliness,64,76,1 (1% of feedbacks),So many times crack my child luggage box darmetery is not safe and not clean 1
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",EXTRACURRICULAR_RATING,No games played,100,128,1 (1% of feedbacks),Our sin does not play games.
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",PRINCIPAL_SATISFACTION,Student unhappiness,11,14,1 (7% of feedbacks),she is very hard working but ni student can feel happy ...
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",DIET_MENU_RATING,Menu issues,11,14,1 (7% of feedbacks),assalu menu prakaram pettaru
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,KALASAMUDRAM",PRINCIPAL_SATISFACTION,Unclear incident,26,32,1 (3% of feedbacks),What happened?
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",EXTRACURRICULAR_RATING,Meetings and funds,81,96,1 (1% of feedbacks),1 Parents' meetings are not being held every month. We have not received any information about the amount of money we have spent.
VIZIANAGARAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHEEPURAPALLI",TEACHER_COMMUNICATION_RATION,Unclear query,47,56,1 (2% of feedbacks),What is the first thing?
PALNADU,"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",DIET_MENU_RATING,Needs improvement,25,30,1 (3% of feedbacks),Some better
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",DRINKING_WATER_RATING,"Water, cleanliness, staff behavior",45,57,1,"Children have to stand in queues for water at 4 am. The cleanliness in the canteen is very poor  If cleanliness is followed, children will be very healthy. Adults and teachers can notice this  And our small request The behavior of the watchmen and attendants working at the gate is very unsatisfactory. They have no respect for parents."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",EXTRACURRICULAR_RATING,No sports or competitions,46,58,1,"There is no sports competition for children and no awareness is being created about it. Please, especially from class 6 to 8, we have never seen children playing sports. They have not participated in any competitions. We also doubt whether there are any sports related activities in the school."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",OVERALL_SATISFACTION_RATING,"Bathroom hygiene, safety issues",44,56,1,"The bathrooms, which are a bit better, especially the girls' bathrooms, smell a lot and the environment is scary with snakes roaming around, so the kids can focus on them."
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",DIET_MENU_RATING,Poor food preparation,61,75,1,Machines vachaka sarigga cheyadam ledhu rice udakadam ledhu
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",DIET_MENU_RATING,Menu not followed,327,389,1,Not according to menu
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",HEALTHCARE_RATING,Lack of child care,59,73,1,because they didn't care the children
Y.S.R.,"DR.B.R.AMBEDKAR GURUKULAM SCHOOL/JR.COLLEGE FOR GIRLS, RAJUPALEM AT VELLALA,YSR.DISTRICT.",DIET_MENU_RATING,Food quality poor,24,32,1,The food is not good. The food is not good.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",DIET_MENU_RATING,Food quality poor,46,58,1,"The food is not really good, especially the rice and snacks."
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,YEDDANAPUDI",DRINKING_WATER_RATING,Water quality poor,13,20,1,Water is not good
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,NORTH ADDANKI AT ADDANKI",DIET_MENU_RATING,Food not tasty,7,7,1,\2 4 and half only because that is not testy
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CLEANLINESS_RATING,Cleanliness not good,6,6,1,cleanliness is not good
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CARETAKER_SATISFACTION,Students dull in studies,123,148,1,it's ok .but students are still dull in studies
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",EXTRACURRICULAR_RATING,No PET class,109,137,1,no pet class
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",CARETAKER_SATISFACTION,Not education,363,488,1,Not education
ANAKAPALLI,"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",CARETAKER_SATISFACTION,Forced eating,39,45,1,care taker residence here and she asked every one to eat food
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",DRINKING_WATER_RATING,Unclean drinking water,70,80,1 (1% of feedbacks),"If the water is not clean, install a water filter. Sometimes the filter works, sometimes it doesn't. Children drink water."
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",DIET_MENU_RATING,Uncooked food served,69,79,1 (1% of feedbacks),They are serving uncooked rice.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",OVERALL_SATISFACTION_RATING,Poor dormitory and food,65,75,1 (1% of feedbacks),dormitary maintenance and testy food and drinking water parents waiting place and rooms
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",PRINCIPAL_SATISFACTION,Not satisfied at all,364,489,1 (0% of feedbacks),Not satisfied at all
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",PRINCIPAL_SATISFACTION,No senior IIT faculty,60,74,1 (1% of feedbacks),No senior IIT faculty in collage teaching farfams poor
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",EXTRACURRICULAR_RATING,Sports not emphasized,326,388,1 (0% of feedbacks),"So far, sports haven't been mentioned much."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",DRINKING_WATER_RATING,No water available,264,310,1 (0% of feedbacks),No vater
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KAMBALAPADU",CARETAKER_SATISFACTION,No caretaker available,283,312,1 (0% of feedbacks),There is no caretaker
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",EXTRACURRICULAR_RATING,No sports activities,297,337,1 (0% of feedbacks),there is no sports
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",OVERALL_SATISFACTION_RATING,Not satisfied,292,329,1 (0% of feedbacks),we are not satisfied
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam Jr. College,KOTTURU (LN PURAM JC)",OVERALL_SATISFACTION_RATING,Bad classroom benches,17,19,1 (5% of feedbacks),because of the classroom benches is very bad
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",EXTRACURRICULAR_RATING,No sportsmanship,40,48,1 (2% of feedbacks),No sportsmanship
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",DIET_MENU_RATING,Food not very good,81,95,1 (1% of feedbacks),Not very good
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",EXTRACURRICULAR_RATING,Unclear activities status,77,99,1 (1% of feedbacks),What's happening?
NTR,"Dr. B. R. Ambedkar Gurukulam/JC,KRISHNARAOPALEM",SAFETY_MEASURES_RATING,Safety needs improvement,6,6,1 (17% of feedbacks),It will be good.
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",CARETAKER_SATISFACTION,Frequent caretaker changes,59,77,1 (1% of feedbacks),I am not satisfying the caretaker monthly monthly wise change for takers that's why I am not particular person
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",HEALTHCARE_RATING,Poor student healthcare,57,72,1 (1% of feedbacks),Worst Not caring for students any kind of situation only blame the students
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",EDUCATION_QUALITY_RATING,No education quality,60,77,1 (1% of feedbacks),assale ledhu
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",HEALTHCARE_RATING,No medical attention,81,90,1 (1% of feedbacks),my daughter is suffering from throat pain and hiccups there is no person understanding their problems
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",DIET_MENU_RATING,Poor food quality,81,91,1 (1% of feedbacks),upma is not perfect night time menu is also not perfect all food items are fully spicy 🔥🥵
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",HEALTHCARE_RATING,Poor health conditions,76,98,1 (1% of feedbacks),Health is not good
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",CARETAKER_SATISFACTION,Caretaker complaints,79,102,1 (1% of feedbacks),I am going to eat the chala sarlu thittaru. Nothing
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",DRINKING_WATER_RATING,Water taste issues,76,99,1 (1% of feedbacks),better to taste
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",DRINKING_WATER_RATING,Poor water facility,87,113,1 (1% of feedbacks),Water facility is poor Filtered water should be installed Drinking water is good ivvali
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",TEACHER_COMMUNICATION_RATING,Teacher communication lacking,419,548,1 (0% of feedbacks),Subject teacher matho matladatam ledu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",CARETAKER_SATISFACTION,No night caretaker,247,302,1 (0% of feedbacks),night time not there in children
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",OVERALL_SATISFACTION_RATING,General dissatisfaction,100,128,1 (1% of feedbacks),Very annoying.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",DIET_MENU_RATING,Diet menu issues,241,299,1 (0% of feedbacks),Because some
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",HEALTHCARE_RATING,Health concerns,346,409,1 (0% of feedbacks),"I am not healthy, I am not hungry"
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",HEALTHCARE_RATING,Healthcare query unclear,40,49,1 (2% of feedbacks),Please qeshion
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",PRINCIPAL_SATISFACTION,Principal unaware of parents,92,115,1 (1% of feedbacks),The principal does not know the father or mother of the student.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",CARETAKER_SATISFACTION,Caretaker unresponsive,91,113,1 (1% of feedbacks),"If the caretaker calls at all, there is no reply."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",TEACHER_COMMUNICATION_RATING,No progress updates,92,114,1 (1% of feedbacks),We don't know if there is any progress in the children. The teachers have not even called to say that this is the situation of your children.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",CARETAKER_SATISFACTION,No permanent caretaker,216,262,1 (0% of feedbacks),"There is no permanent caretaker in the school. The current teacher there is working as a caretaker, which is detrimental to the children's..education..system 😥"
VISAKHAPATANAM,"Dr. B. R. Ambedkar Gurukulam/JC,MEGADRIGADDA",OVERALL_SATISFACTION_RATING,Poor maintenance,3,3,1 (33% of feedbacks),Education is good one of the corporate school /college Maintains not good
KAKINADA,"Dr. B. R. Ambedkar Gurukulam/JC,S.M. NAGAR(KAKINADA)",OVERALL_SATISFACTION_RATING,No suggestions given,102,112,1 (1% of feedbacks),No suggestion
KRISHNA,"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",DRINKING_WATER_RATING,Only one RO plant,105,113,1 (1% of feedbacks),There is only one R O water plant.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",SAFETY_MEASURES_RATING,Emotional distress,264,309,1 (0% of feedbacks),I'm crying.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",CLEANLINESS_RATING,Hygiene and water issues,11,11,1 (9% of feedbacks),Lack of proper hygiene  No proper water for children's needs No proper facilities for washing clothes
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",DRINKING_WATER_RATING,Drinking water problem,299,344,1 (0% of feedbacks),Water facility is not good.. drinking water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",DIET_MENU_RATING,Only first aid treatment,298,344,1 (0% of feedbacks),Given only first aid treatment only
DR.B.R.AMBEDKAR KONASEEMA,"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",DIET_MENU_RATING,Poor tasteless menu,15,16,1 (6% of feedbacks),Not satisfied due to menu is very poor and tasteless quality.
DR.B.R.AMBEDKAR KONASEEMA,"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",EXTRACURRICULAR_RATING,No activities or sports,15,15,1 (7% of feedbacks),There is no activities no participated games and sports.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",CARETAKER_SATISFACTION,Neglect of children,427,561,1 (0% of feedbacks),Moscow 2 Madam Our rating is 2 We are unable to give a rating due to neglect of children.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",PRINCIPAL_SATISFACTION,Irresponsible principal,74,85,1 (1% of feedbacks),He's very irresponsible
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",DIET_MENU_RATING,Food quality declined,75,87,1 (1% of feedbacks),For first year food was excellent but in second year it's very poor
PRAKASAM,New Nabard School Kurichedu,DRINKING_WATER_RATING,Bore water given,13,13,1 (8% of feedbacks),Children are being given bore water.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",DRINKING_WATER_RATING,Water facilities inadequate,361,485,1 (0% of feedbacks),water facilities marusanaga undavu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",DRINKING_WATER_RATING,Water bag issue,63,75,1 (1% of feedbacks),Water bag
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",CARETAKER_SATISFACTION,No caretaker,99,128,1 (1% of feedbacks),caretaker no.
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam,NALLAMADA",CARETAKER_SATISFACTION,Pay early demand,163,179,1 (1% of feedbacks),Pay early.
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam/JC,SANGAM",EDUCATION_QUALITY_RATING,Not satisfied,16,19,1 (5% of feedbacks),chala samtrupthi
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,ADURUPALLI",SAFETY_MEASURES_RATING,No suggestions,129,141,1 (1% of feedbacks),No suggestions
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",TEACHER_COMMUNICATION_RATING,Agree with reason,45,57,1 (2% of feedbacks),Iagree with reason
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",PRINCIPAL_SATISFACTION,Education concern,263,308,1 (0% of feedbacks),my children better an education
SRIKAKULAM,"Dr. B. R. Ambedkar Gurukulam/JC,PATHAPATNAM (DPIP)",DRINKING_WATER_RATING,No water supply,34,51,1 (2% of feedbacks),"Why is it that there has been no water supply for some time now? Children are having a lot of trouble bathing, doing daily chores, and washing clothes. Please ensure that there is no shortage of water and that children do not have to suffer."
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",TEACHER_COMMUNICATION_RATING,Teacher dissatisfaction,120,143,1 (1% of feedbacks),not satisfied with the teachers ; Teachers teaching baguntundi
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",DRINKING_WATER_RATING,No water supply,60,74,1 (1% of feedbacks),Water sarigga raavu ; Water bagalevu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",HEALTHCARE_RATING,No sanitary pads,87,113,1 (1% of feedbacks),sanitary pads are not given
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",CARETAKER_SATISFACTION,No caretaker,269,313,1 (0% of feedbacks),It is not known whether there is a caretaker or not The ones who are there are not answering correctly
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",DIET_MENU_RATING,Poor food quality,218,266,1 (0% of feedbacks),No Iam very disapointed about food diet menu 1
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",CLEANLINESS_RATING,Poor cleanliness,7,7,1 (14% of feedbacks),It's really hard to study at school 😥 ; Parisubratha Sariga Ledu Mariyu Coupund Lopala Chetha Chearam Unnayi
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",EXTRACURRICULAR_RATING,No extracurricular info,217,264,1 (0% of feedbacks),We don't know about such things yet.
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",HEALTHCARE_RATING,Bad teacher,28,45,1 (2% of feedbacks),Bad teacher hs
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",SAFETY_MEASURES_RATING,"Snakes, dogs, security",228,282,1 (0% of feedbacks),(snakes & dogs problems) ; Security is not good.
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",CARETAKER_SATISFACTION,No caretaker,297,337,1 (0% of feedbacks),No 2 2 there is no care taker
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",EXTRACURRICULAR_RATING,Student not supported,60,77,1 (1% of feedbacks),Not patispaid these student
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",CARETAKER_SATISFACTION,Below expectations,83,96,1 (1% of feedbacks),Some things not upto the mark
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam/JC,RAPUR",EXTRACURRICULAR_RATING,No PET Master,8,11,1 (9% of feedbacks),No PET Master
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,BAPATLA",EXTRACURRICULAR_RATING,Needs sports ground,147,176,1 (1% of feedbacks),Sorts Enka development cheyali ground kavali
ANNAMAYYA,"Dr. B. R. Ambedkar Gurukulam/JC,MADANAPALLI (DPIP)",DRINKING_WATER_RATING,Water shortage,284,336,1 (0% of feedbacks),"There is a shortage of water facilities, please."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",EXTRACURRICULAR_RATING,Dissatisfaction with sports,242,297,1 (0% of feedbacks),Bhadraṅga unnāru
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",PRINCIPAL_SATISFACTION,Teacher disrespect issues,226,341,1 (0% of feedbacks),",endhukante  experience teacher's   ithe bagundunu  e madam ki emi theliyadam ledhu E madam ante teacher's  ki Bayam and respect ledhu ."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",SAFETY_MEASURES_RATING,Missing security facility,186,230,1 (0% of feedbacks),kanchi ledhu
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",CARETAKER_SATISFACTION,No caretaker available,263,308,1 (0% of feedbacks),No care ticker
NTR,Dr. B. R. Ambedkar Gurukulam School Muppalla,DIET_MENU_RATING,Food hygiene issues,29,34,1 (3% of feedbacks),sometimes in rice they see some insects and some other kind of problems facing
NTR,Dr. B. R. Ambedkar Gurukulam School Muppalla,EXTRACURRICULAR_RATING,Non-participation in activities,30,35,1 (3% of feedbacks),N0 1 Not participating
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",DIET_MENU_RATING,Unclear rating reason,423,550,1 (0% of feedbacks),Marketing 1 Our rating is 1
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",DIET_MENU_RATING,Specific food item poor,361,488,1 (0% of feedbacks),"Pulihara Upma is not good, everything else is good."
ANNAMAYYA,"Dr. B. R. Ambedkar Gurukulam/JC,KODURU",DRINKING_WATER_RATING,No mineral water provided,28,32,1 (3% of feedbacks),There is no mineral water is provided to children to drink
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",DRINKING_WATER_RATING,No water in toilets,51,57,1 (2% of feedbacks),No water in toilets
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",EDUCATION_QUALITY_RATING,Low English instruction,51,57,1 (2% of feedbacks),Only 2% of students study English.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",SAFETY_MEASURES_RATING,Need experienced teachers,72,83,1 (1% of feedbacks),"It would be good if experienced teachers were sent to NIT, NEET. Colleges"
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",DIET_MENU_RATING,Food quality concerns,59,76,1 (1% of feedbacks),and 5 food chalabaga andincharu
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",HEALTHCARE_RATING,Incomplete healthcare info,304,397,1 (0% of feedbacks),Not provideig
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",OVERALL_SATISFACTION_RATING,Extracurricular improvement needed,298,387,1 (0% of feedbacks),"Certainly, two important suggestions for improving extracurricular activities are:  Identification of student interests: Establish diverse clubs (such as coding, art, social service) according to students' interests and involve them in leadership roles.  Skill training and recognition: In addition to organizing workshops with experts, competitions or exhibitions should be organized regularly to showcase students' talents and encourage them."
