District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",DIET_MENU_RATING,Menu not followed,11,14,1 (7% of feedbacks),assalu menu prakaram pettaru
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",HEALTHCARE_RATING,Uncleanliness impact health,62,74,1 (1% of feedbacks),Some places are not clean that's why childrens faces some health issues
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",DRINKING_WATER_RATING,Water supply issues,38,45,1 (2% of feedbacks),Water problem
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",HEALTHCARE_RATING,Lack of student care,57,72,1 (1% of feedbacks),Worst Not caring for students any kind of situation only blame the students
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",HEALTHCARE_RATING,Inadequate health support,81,90,1 (1% of feedbacks),my daughter is suffering from throat pain and hiccups there is no person understanding their problems
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",HEALTHCARE_RATING,Student unhealthiness/hunger,346,409,1 (0% of feedbacks),"I am not healthy, I am not hungry"
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",DIET_MENU_RATING,Unpalatable/spicy food,81,91,1 (1% of feedbacks),upma is not perfect night time menu is also not perfect all food items are fully spicy 🔥🥵
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",HEALTHCARE_RATING,Poor health status,76,98,1 (1% of feedbacks),Health is not good
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",CARETAKER_SATISFACTION,Caretaker inconsistency/turnover,59,77,1 (1% of feedbacks),I am not satisfying the caretaker monthly monthly wise change for takers that's why I am not particular person
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",DRINKING_WATER_RATING,Poor water facility,87,113,1 (1% of feedbacks),Water facility is poor Filtered water should be installed Drinking water is good ivvali
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",TEACHER_COMMUNICATION_RATING,Teacher communication issues,419,548,1 (0% of feedbacks),Subject teacher matho matladatam ledu
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",OVERALL_SATISFACTION_RATING,Annoying experience,100,128,1 (1% of feedbacks),Very annoying.
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",CARETAKER_SATISFACTION,Caretaker verbal abuse,79,102,1 (1% of feedbacks),I am going to eat the chala sarlu thittaru. Nothing
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",EDUCATION_QUALITY_RATING,Lack of education quality,60,77,1 (1% of feedbacks),assale ledhu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",CARETAKER_SATISFACTION,Absent night caretaker,247,302,1 (0% of feedbacks),night time not there in children
SRIKAKULAM,"Dr. B. R. Ambedkar Gurukulam/JC,PATHAPATNAM (DPIP)",DRINKING_WATER_RATING,"Water shortage, hygiene issues",34,51,1 (2% of feedbacks),"Why is it that there has been no water supply for some time now? Children are having a lot of trouble bathing, doing daily chores, and washing clothes. Please ensure that there is no shortage of water and that children do not have to suffer."
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",CLEANLINESS_RATING,Unclean school environment,7,7,1 (14% of feedbacks),It's really hard to study at school 😥 ; Parisubratha Sariga Ledu Mariyu Coupund Lopala Chetha Chearam Unnayi
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",DIET_MENU_RATING,Dissatisfied with food,218,266,1 (0% of feedbacks),No Iam very disapointed about food diet menu 1
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",HEALTHCARE_RATING,No sanitary pads,87,113,1 (1% of feedbacks),sanitary pads are not given
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",DRINKING_WATER_RATING,Water supply issues,60,74,1 (1% of feedbacks),Water sarigga raavu ; Water bagalevu
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",TEACHER_COMMUNICATION_RATING,Teacher communication dissatisfaction,120,143,1 (1% of feedbacks),not satisfied with the teachers
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",CARETAKER_SATISFACTION,Caretaker performance issues,83,96,1 (1% of feedbacks),Some things not upto the mark
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",CARETAKER_SATISFACTION,Lack of caretaker,297,337,1 (0% of feedbacks),No 2 2 there is no care taker
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",HEALTHCARE_RATING,Bad teacher complaints,28,45,1 (2% of feedbacks),Bad teacher hs
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",SAFETY_MEASURES_RATING,"Security, animal problems",228,282,1 (0% of feedbacks),(snakes & dogs problems) ; Security is not good.
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",EXTRACURRICULAR_RATING,Dissatisfied with students,60,77,1 (1% of feedbacks),Not patispaid these student
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",CARETAKER_SATISFACTION,Caretaker not responsive,269,313,1 (0% of feedbacks),", It is not known whether there is a caretaker or not The ones who are there are not answering correctly"
ANNAMAYYA,"Dr. B. R. Ambedkar Gurukulam/JC,MADANAPALLI (DPIP)",DRINKING_WATER_RATING,Water facility shortage,284,336,1 (0% of feedbacks),"There is a shortage of water facilities, please."
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,BAPATLA",EXTRACURRICULAR_RATING,Need sports development,147,176,1 (1% of feedbacks),Sorts Enka development cheyali ground kavali
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam/JC,RAPUR",EXTRACURRICULAR_RATING,No PET Master,8,11,1 (9% of feedbacks),No PET Master
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",OVERALL_SATISFACTION_RATING,"Facilities, food, parent waiting",65,75,1 (1% of feedbacks),dormitary maintenance and testy food and drinking water parents waiting place and rooms
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",DRINKING_WATER_RATING,Water filter issues,70,80,1 (1% of feedbacks),"If the water is not clean, install a water filter. Sometimes the filter works, sometimes it doesn't. Children drink water."
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",DIET_MENU_RATING,Uncooked food served,69,79,1 (1% of feedbacks),They are serving uncooked rice.
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",EXTRACURRICULAR_RATING,No sports activities,297,337,1 (0% of feedbacks),there is no sports
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",OVERALL_SATISFACTION_RATING,Not satisfied overall,292,329,1 (0% of feedbacks),we are not satisfied
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam Jr. College,KOTTURU (LN PURAM JC)",OVERALL_SATISFACTION_RATING,Bad classroom benches,17,19,1 (5% of feedbacks),because of the classroom benches is very bad
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",EXTRACURRICULAR_RATING,Unclear Extracurriculars Status,77,99,1 (1% of feedbacks),What's happening?
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KAMBALAPADU",CARETAKER_SATISFACTION,No caretaker available,283,312,1 (0% of feedbacks),There is no caretaker
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",EXTRACURRICULAR_RATING,Lack of sports information,326,388,1 (0% of feedbacks),"So far, sports haven't been mentioned much."
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",PRINCIPAL_SATISFACTION,"Poor faculty, lack teachers",60,74,1 (1% of feedbacks),No senior IIT faculty in collage teaching farfams poor
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",EXTRACURRICULAR_RATING,No sportsmanship,40,48,1 (2% of feedbacks),No sportsmanship
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",DIET_MENU_RATING,Diet menu not good,81,95,1 (1% of feedbacks),Not very good
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",PRINCIPAL_SATISFACTION,Completely unsatisfied,364,489,1 (0% of feedbacks),Not satisfied at all
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",DRINKING_WATER_RATING,No water availability,264,310,1 (0% of feedbacks),No vater
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",DIET_MENU_RATING,Unclear Complaint,423,550,1 (0% of feedbacks),Marketing 1 Our rating is 1
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",EXTRACURRICULAR_RATING,Dissatisfied with Sports,242,297,1 (0% of feedbacks),I will not satisfy.
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",HEALTHCARE_RATING,Healthcare Not Provided,304,397,1 (0% of feedbacks),Not provideig
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",TEACHER_COMMUNICATION_RATING,Bad Communication/Satisfaction,97,126,1 (1% of feedbacks),very very bad. No satisfactions
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",PRINCIPAL_SATISFACTION,Inexperienced Principal,226,341,1 (0% of feedbacks),",endhukante experience teacher's ithe bagundunu e madam ki emi theliyadam ledhu E madam ante teacher's ki Bayam and respect ledhu ."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",SAFETY_MEASURES_RATING,Safety Not Present,186,230,1 (0% of feedbacks),kanchi ledhu
NTR,Dr. B. R. Ambedkar Gurukulam School Muppalla,EXTRACURRICULAR_RATING,No Participation,30,35,1 (3% of feedbacks),N0 1 Not participating
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",CARETAKER_SATISFACTION,No Caretaker Present,263,308,1 (0% of feedbacks),No care ticker ; No care
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",PRINCIPAL_SATISFACTION,Very Unhappy,225,278,1 (0% of feedbacks),Very disappointed
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",EDUCATION_QUALITY_RATING,English Study Low,51,57,1 (2% of feedbacks),Only 2% of students study English.
ANNAMAYYA,"Dr. B. R. Ambedkar Gurukulam/JC,KODURU",DRINKING_WATER_RATING,No Mineral Water/Plant,28,32,1 (3% of feedbacks),There is no mineral water is provided to children to drink ; No water plant
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",SAFETY_MEASURES_RATING,Inexperienced Teachers Needed,72,83,1 (1% of feedbacks),"It would be good if experienced teachers were sent to NIT, NEET. Colleges"
NTR,Dr. B. R. Ambedkar Gurukulam School Muppalla,DIET_MENU_RATING,Food Hygiene Issues,29,34,1 (3% of feedbacks),sometimes in rice they see some insects and some other kind of problems facing
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",TEACHER_COMMUNICATION_RATING,Lack of lecturers,71,82,1 (1% of feedbacks),Lack of lecturers for four months after the college opened
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,MALUGURU",CARETAKER_SATISFACTION,Lack of chefs,39,46,1 (2% of feedbacks),Very dissatisfied because lack of chefs
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",OVERALL_SATISFACTION_RATING,Cleaning issues,223,339,1 (0% of feedbacks),"Cleaning is not clean, it is laziness."
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",DIET_MENU_RATING,Food taste not good,27,29,1 (3% of feedbacks),The taste is not good.
PALNADU,"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",EXTRACURRICULAR_RATING,Insufficient sports staff,26,32,1 (3% of feedbacks),"There should be two PETs in schools, but there is only one, so there is no proper sports spirit. There are not enough full stops for children in schools, so even the one PET that exists is not able to provide sports because they are studying."
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",EDUCATION_QUALITY_RATING,Improper class management,75,84,1 (1% of feedbacks),Not. Satishfied. because of class are not. Properly
KRISHNA,"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",CARETAKER_SATISFACTION,No caretaker,99,105,1 (1% of feedbacks),No caretaker.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",CLEANLINESS_RATING,Dirty bathroom,7,7,1 (14% of feedbacks),The bathroom is dirty.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",OVERALL_SATISFACTION_RATING,Inferior benefits compared,74,86,1 (1% of feedbacks),Compare this to the benefits provided by BC Welfare and you will understand how far behind we are.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SATHIVEDU (DPIP)",DIET_MENU_RATING,Very disappointed,198,231,1 (0% of feedbacks),Very disappoint
PALNADU,"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",DRINKING_WATER_RATING,Bore water concerns,24,29,1 (3% of feedbacks),Because boar water
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",EXTRACURRICULAR_RATING,No extracurricular activities,61,74,1 (1% of feedbacks),1 Because they don't do the extracurricular activities
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",DRINKING_WATER_RATING,Drinking water unavailable,423,551,1 (0% of feedbacks),Drink ing Water not available surrounding places
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",HEALTHCARE_RATING,Poor government tablet,297,337,1 (0% of feedbacks),Government tablet too bad
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",DIET_MENU_RATING,Improper cooking,298,338,1 (0% of feedbacks),There is no proper cooking
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",SAFETY_MEASURES_RATING,Excessive strictness,295,334,1 (0% of feedbacks),it is more than jail
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",DIET_MENU_RATING,Unappetizing food,189,233,1 (0% of feedbacks),Wednesday Bency Matram Petttadhu Yebidda Kuda Thinadhu 2 Okay
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",DRINKING_WATER_RATING,"Water accessibility, poor cleanliness, staff behavior",45,57,1 (2% of feedbacks),"Children have to stand in queues for water at 4 am. The cleanliness in the canteen is very poor If cleanliness is followed, children will be very healthy. Adults and teachers can notice this And our small request The behavior of the watchmen and attendants working at the gate is very unsatisfactory. They have no respect for parents."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",OVERALL_SATISFACTION_RATING,"Unhygienic, unsafe bathrooms with snakes",44,56,1 (2% of feedbacks),"The bathrooms, which are a bit better, especially the girls' bathrooms, smell a lot and the environment is scary with snakes roaming around, so the kids can focus on them."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",EXTRACURRICULAR_RATING,"No sports, extracurricular activities",46,58,1 (2% of feedbacks),"There is no sports competition for children and no awareness is being created about it. Please, especially from class 6 to 8, we have never seen children playing sports. They have not participated in any competitions. We also doubt whether there are any sports related activities in the school."
Y.S.R.,"DR.B.R.AMBEDKAR GURUKULAM SCHOOL/JR.COLLEGE FOR GIRLS, RAJUPALEM AT VELLALA,YSR.DISTRICT.",DIET_MENU_RATING,Food quality issues,24,32,1 (3% of feedbacks),The food is not good. The food is not good.
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",DIET_MENU_RATING,"Rice undercooked, machine issues",61,75,1 (1% of feedbacks),Machines vachaka sarigga cheyadam ledhu rice udakadam ledhu
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CARETAKER_SATISFACTION,Students dull in studies,123,148,1 (1% of feedbacks),it's ok .but students are still dull in studies
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",EXTRACURRICULAR_RATING,No PET class,109,137,1 (1% of feedbacks),no pet class
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",CARETAKER_SATISFACTION,Lack of education support,363,488,1 (0% of feedbacks),Not education
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CLEANLINESS_RATING,Cleanliness not good,6,6,1 (17% of feedbacks),cleanliness is not good
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,YEDDANAPUDI",DRINKING_WATER_RATING,Water quality issues,13,20,1 (5% of feedbacks),Water is not good
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,NORTH ADDANKI AT ADDANKI",DIET_MENU_RATING,Food not tasty,7,7,1 (14% of feedbacks),2 4 and half only because that is not testy
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",DIET_MENU_RATING,Diet not according to menu,327,389,1 (0% of feedbacks),Not according to menu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",DIET_MENU_RATING,Food/snacks not good,46,58,1 (2% of feedbacks),"The food is not really good, especially the rice and snacks."
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",HEALTHCARE_RATING,Children not cared for,59,73,1 (1% of feedbacks),because they didn't care the children
ANAKAPALLI,"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",CARETAKER_SATISFACTION,Caretaker residence issues,39,45,1 (2% of feedbacks),care taker residence here and she asked every one to eat food
