District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
WEST GODAVARI,"Dr. B. R. Ambedkar Gurukulam/JC,ARUGOLANU",EXTRACURRICULAR_RATING,"Only studies, no activities",9,9,1 (11% of feedbacks),Atalu levu only Chaduvu matrame
KRISHNA,"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",DRINKING_WATER_RATING,Insufficient water plants,105,113,1 (1% of feedbacks),There is only one R O water plant.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",SAFETY_MEASURES_RATING,Emotional distress expressed,264,309,1 (0% of feedbacks),I'm crying.
SRIKAKULAM,"Dr. B. R. Ambedkar Gurukulam/JC,PATHAPATNAM (DPIP)",DRINKING_WATER_RATING,No water supply,34,51,1 (2% of feedbacks),"Why is it that there has been no water supply for some time now? Children are having a lot of trouble bathing, doing daily chores, and washing clothes. Please ensure that there is no shortage of water and that children do not have to suffer."
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",TEACHER_COMMUNICATION_RATING,Teacher dissatisfaction,120,143,1 (1% of feedbacks),not satisfied with the teachers ; Teachers teaching baguntundi
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",DRINKING_WATER_RATING,No water supply,60,74,1 (1% of feedbacks),Water sarigga raavu ; Water bagalevu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",HEALTHCARE_RATING,No sanitary pads,87,113,1 (1% of feedbacks),sanitary pads are not given
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",CARETAKER_SATISFACTION,No caretaker present,269,313,1 (0% of feedbacks),It is not known whether there is a caretaker or not The ones who are there are not answering correctly
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",DIET_MENU_RATING,Poor food quality,218,266,1 (0% of feedbacks),No Iam very disapointed about food diet menu 1
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",CLEANLINESS_RATING,Poor school cleanliness,7,7,1 (14% of feedbacks),It's really hard to study at school 😥 ; Parisubratha Sariga Ledu Mariyu Coupund Lopala Chetha Chearam Unnayi
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",EXTRACURRICULAR_RATING,No extracurricular info,217,264,1 (0% of feedbacks),We don't know about such things yet.
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",EXTRACURRICULAR_RATING,No participation,60,77,1 (1% of feedbacks),Not patispaid these student
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",SAFETY_MEASURES_RATING,"Snakes, dogs, security",228,282,1 (0% of feedbacks),(snakes & dogs problems) ; Security is not good.
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",HEALTHCARE_RATING,Bad teacher,28,45,1 (2% of feedbacks),Bad teacher hs
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam/JC,RAPUR",EXTRACURRICULAR_RATING,No PET Master,8,11,1 (9% of feedbacks),No PET Master
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,BAPATLA",EXTRACURRICULAR_RATING,Need sports ground,147,176,1 (1% of feedbacks),Sorts Enka development cheyali ground kavali
ANNAMAYYA,"Dr. B. R. Ambedkar Gurukulam/JC,MADANAPALLI (DPIP)",DRINKING_WATER_RATING,Water shortage,284,336,1 (0% of feedbacks),"There is a shortage of water facilities, please."
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",CARETAKER_SATISFACTION,Caretaker inconsistency,59,77,1 (1% of feedbacks),I am not satisfying the caretaker monthly monthly wise change for takers that's why I am not particular person
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",HEALTHCARE_RATING,Poor student care,57,72,1 (1% of feedbacks),Worst Not caring for students any kind of situation only blame the students
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",HEALTHCARE_RATING,Lack of medical attention,81,90,1 (1% of feedbacks),my daughter is suffering from throat pain and hiccups there is no person understanding their problems
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",DIET_MENU_RATING,Spicy and poor food,81,91,1 (1% of feedbacks),upma is not perfect night time menu is also not perfect all food items are fully spicy 🔥🥵
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",HEALTHCARE_RATING,Poor health conditions,76,98,1 (1% of feedbacks),Health is not good
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",CARETAKER_SATISFACTION,Caretaker negligence,79,102,1 (1% of feedbacks),I am going to eat the chala sarlu thittaru. Nothing
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",DRINKING_WATER_RATING,Poor water facility,87,113,1 (1% of feedbacks),Water facility is poor Filtered water should be installed Drinking water is good ivvali
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",TEACHER_COMMUNICATION_RATING,Teacher communication issue,419,548,1 (0% of feedbacks),Subject teacher matho matladatam ledu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",CARETAKER_SATISFACTION,Night caretaker absence,247,302,1 (0% of feedbacks),night time not there in children
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",OVERALL_SATISFACTION_RATING,General dissatisfaction,100,128,1 (1% of feedbacks),Very annoying.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",DIET_MENU_RATING,Unspecified food issues,241,299,1 (0% of feedbacks),Because some
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",HEALTHCARE_RATING,Student health concerns,346,409,1 (0% of feedbacks),"I am not healthy, I am not hungry"
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",DRINKING_WATER_RATING,Water taste issue,76,99,1 (1% of feedbacks),better to taste
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",EDUCATION_QUALITY_RATING,Poor education quality,60,77,1 (1% of feedbacks),assale ledhu
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",HEALTHCARE_RATING,Unclear health concern,40,49,1 (2% of feedbacks),Please qeshion
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",CLEANLINESS_RATING,Hygiene and water issues,11,11,1 (9% of feedbacks),Lack of proper hygiene  No proper water for children's needs No proper facilities for washing clothes
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",DRINKING_WATER_RATING,Drinking water problem,299,344,1 (0% of feedbacks),Water facility is not good.. drinking water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",DIET_MENU_RATING,Only first aid treatment,298,344,1 (0% of feedbacks),Given only first aid treatment only
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",CARETAKER_SATISFACTION,Neglect of children,427,561,1 (0% of feedbacks),Moscow 2 Madam Our rating is 2 We are unable to give a rating due to neglect of children.
DR.B.R.AMBEDKAR KONASEEMA,"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",DIET_MENU_RATING,Poor tasteless menu,15,16,1 (6% of feedbacks),Not satisfied due to menu is very poor and tasteless quality.
DR.B.R.AMBEDKAR KONASEEMA,"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",EXTRACURRICULAR_RATING,No activities or sports,15,15,1 (7% of feedbacks),There is no activities no participated games and sports.
PRAKASAM,New Nabard School Kurichedu,DRINKING_WATER_RATING,Bore water given,13,13,1 (8% of feedbacks),Children are being given bore water.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",PRINCIPAL_SATISFACTION,Irresponsible principal,74,85,1 (1% of feedbacks),He's very irresponsible
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",DIET_MENU_RATING,Food quality declined,75,87,1 (1% of feedbacks),For first year food was excellent but in second year it's very poor
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",DRINKING_WATER_RATING,Water facilities inadequate,361,485,1 (0% of feedbacks),water facilities marusanaga undavu
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam/JC,SANGAM",EDUCATION_QUALITY_RATING,Dissatisfied with education,16,19,1 (5% of feedbacks),chala samtrupthi
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",DRINKING_WATER_RATING,Water bag issue,63,75,1 (1% of feedbacks),Water bag
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam,NALLAMADA",CARETAKER_SATISFACTION,Pay early demand,163,179,1 (1% of feedbacks),Pay early.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",CARETAKER_SATISFACTION,No caretaker,99,128,1 (1% of feedbacks),caretaker no.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",EXTRACURRICULAR_RATING,Dissatisfaction with sports,242,297,1 (0% of feedbacks),Bhadraṅga unnāru
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",PRINCIPAL_SATISFACTION,Disrespectful staff behavior,226,341,1 (0% of feedbacks),",endhukante  experience teacher's   ithe bagundunu  e madam ki emi theliyadam ledhu E madam ante teacher's  ki Bayam and respect ledhu ."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",CARETAKER_SATISFACTION,No caretaker available,263,308,1 (0% of feedbacks),No care ticker
NTR,Dr. B. R. Ambedkar Gurukulam School Muppalla,DIET_MENU_RATING,Insects in food,29,34,1 (3% of feedbacks),sometimes in rice they see some insects and some other kind of problems facing
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",DRINKING_WATER_RATING,No water in toilets,51,57,1 (2% of feedbacks),No water in toilets
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",EDUCATION_QUALITY_RATING,Low English proficiency,51,57,1 (2% of feedbacks),Only 2% of students study English.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",DIET_MENU_RATING,Poor food quality,361,488,1 (0% of feedbacks),"Pulihara Upma is not good, everything else is good."
ANNAMAYYA,"Dr. B. R. Ambedkar Gurukulam/JC,KODURU",DRINKING_WATER_RATING,No mineral water,28,32,1 (3% of feedbacks),There is no mineral water is provided to children to drink
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",DIET_MENU_RATING,Food quality issues,59,76,1 (1% of feedbacks),and 5 food chalabaga andincharu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",PRINCIPAL_SATISFACTION,General disappointment,225,278,1 (0% of feedbacks),Very disappointed
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",SAFETY_MEASURES_RATING,Need experienced teachers,72,83,1 (1% of feedbacks),"It would be good if experienced teachers were sent to NIT, NEET. Colleges"
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",HEALTHCARE_RATING,Healthcare not provided,304,397,1 (0% of feedbacks),Not provideig
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",SAFETY_MEASURES_RATING,Missing security,186,230,1 (0% of feedbacks),kanchi ledhu
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",CARETAKER_SATISFACTION,Caretaker negligence,346,407,1 (0% of feedbacks),Chalasamsamruthi caretakarga two years chalabaga ma ammayi chusukunaru
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",DIET_MENU_RATING,Unclear complaint,423,550,1 (0% of feedbacks),Marketing 1 Our rating is 1
NTR,Dr. B. R. Ambedkar Gurukulam School Muppalla,EXTRACURRICULAR_RATING,Not participating,30,35,1 (3% of feedbacks),N0 1 Not participating
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",DRINKING_WATER_RATING,"Water, Cleanliness, Staff Behavior",45,57,1,"Children have to stand in queues for water at 4 am. The cleanliness in the canteen is very poor  If cleanliness is followed, children will be very healthy. Adults and teachers can notice this  And our small request The behavior of the watchmen and attendants working at the gate is very unsatisfactory. They have no respect for parents."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",EXTRACURRICULAR_RATING,Lack of Sports,46,58,1,"There is no sports competition for children and no awareness is being created about it. Please, especially from class 6 to 8, we have never seen children playing sports. They have not participated in any competitions. We also doubt whether there are any sports related activities in the school."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",OVERALL_SATISFACTION_RATING,Sanitation and Safety,44,56,1,"The bathrooms, which are a bit better, especially the girls' bathrooms, smell a lot and the environment is scary with snakes roaming around, so the kids can focus on them."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",DIET_MENU_RATING,Poor Food Quality,46,58,1,"The food is not really good, especially the rice and snacks."
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",HEALTHCARE_RATING,Lack of Childcare,59,73,1,because they didn't care the children
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",DIET_MENU_RATING,Menu Not Followed,327,389,1,Not according to menu
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",DIET_MENU_RATING,Poor Food Service,61,75,1,Machines vachaka sarigga cheyadam ledhu rice udakadam ledhu
Y.S.R.,"DR.B.R.AMBEDKAR GURUKULAM SCHOOL/JR.COLLEGE FOR GIRLS, RAJUPALEM AT VELLALA,YSR.DISTRICT.",DIET_MENU_RATING,Food Quality,24,32,1,The food is not good. The food is not good.
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,YEDDANAPUDI",DRINKING_WATER_RATING,Water Quality,13,20,1,Water is not good
BAPATLA,"Dr. B. R. Ambedkar Gurukulam/JC,NORTH ADDANKI AT ADDANKI",DIET_MENU_RATING,Food Taste,7,7,1,\2 4 and half only because that is not testy
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",CARETAKER_SATISFACTION,Education Quality,363,488,1,Not education
SRI SATHYA SAI,New Nabard School Rolla,EDUCATION_QUALITY_RATING,Request for Change,171,187,1,Next one pls
SRI SATHYA SAI,New Nabard School Rolla,PRINCIPAL_SATISFACTION,Request for Change,174,191,1,Next one pls mam
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",EXTRACURRICULAR_RATING,Missing Activities,109,137,1,no pet class
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CLEANLINESS_RATING,Cleanliness,6,6,1,cleanliness is not good
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CARETAKER_SATISFACTION,Student Performance,123,148,1,it's ok .but students are still dull in studies
ANAKAPALLI,"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",CARETAKER_SATISFACTION,Food Pressure,39,45,1,care taker residence here and she asked every one to eat food
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,DUPADU",CARETAKER_SATISFACTION,Hygiene and water issues,63,71,1 (1% of feedbacks),Neatenes ledu pellalaki and monkeys problem Health carring ledu 1.take water daily each studnts 3liters of water
KURNOOL,"DR.B.R.AMBEDKAR GURUKULAM,VELDURTHY",DIET_MENU_RATING,Food quality poor,206,254,1 (0% of feedbacks),It doesn't taste good if you eat it.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",TEACHER_COMMUNICATION_RATING,Lack of information,19,26,1 (4% of feedbacks),They are not giving information.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",OVERALL_SATISFACTION_RATING,Needs improvement,19,26,1 (4% of feedbacks),Many things need to be improved
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",DRINKING_WATER_RATING,Water problem,38,45,1 (2% of feedbacks),Water problem
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",HEALTHCARE_RATING,Cleanliness issues,62,74,1 (1% of feedbacks),Some places are not clean that's why childrens faces some health issues 1
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",SAFETY_MEASURES_RATING,Safety and cleanliness,64,76,1 (1% of feedbacks),So many times crack my child luggage box darmetery is not safe and not clean 1
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",EXTRACURRICULAR_RATING,No games played,100,128,1 (1% of feedbacks),Our sin does not play games.
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",PRINCIPAL_SATISFACTION,Student unhappiness,11,14,1 (7% of feedbacks),she is very hard working but ni student can feel happy ...
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",DIET_MENU_RATING,Menu issues,11,14,1 (7% of feedbacks),assalu menu prakaram pettaru
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,KALASAMUDRAM",PRINCIPAL_SATISFACTION,Unclear incident,26,32,1 (3% of feedbacks),What happened?
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",EXTRACURRICULAR_RATING,Meetings and funds,81,96,1 (1% of feedbacks),1 Parents' meetings are not being held every month. We have not received any information about the amount of money we have spent.
VIZIANAGARAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHEEPURAPALLI",TEACHER_COMMUNICATION_RATION,Unclear query,47,56,1 (2% of feedbacks),What is the first thing?
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",CLEANLINESS_RATING,Dirty bathroom,7,7,1 (14% of feedbacks),The bathroom is dirty.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",TEACHER_COMMUNICATION_RATING,Very disappointed,71,82,1 (1% of feedbacks),Lack of lecturers for four months after the college opened
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",OVERALL_SATISFACTION_RATING,"Poor facilities, slow",74,86,1 (1% of feedbacks),Compare this to the benefits provided by BC Welfare and you will understand how far behind we are.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",OVERALL_SATISFACTION_RATING,Dirty environment,223,339,1 (0% of feedbacks),"Cleaning is not clean, it is laziness."
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",OVERALL_SATISFACTION_RATING,Poor facilities,82,95,1 (1% of feedbacks),Anni sadupayalu chala bavunnai
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",DIET_MENU_RATING,Food taste,27,29,1 (3% of feedbacks),The taste is not good.
PALNADU,"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",EXTRACURRICULAR_RATING,Lack of activity,26,32,1 (3% of feedbacks),"There should be two PETs in schools, but there is only one, so there is no proper sports spirit."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",OVERALL_SATISFACTION_RATING,Poor management,192,236,1 (0% of feedbacks),Nothing Have
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",EDUCATION_QUALITY_RATING,Poor teaching,75,84,1 (1% of feedbacks),Not. Satishfied. because of class are not. Properly
KRISHNA,"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",CARETAKER_SATISFACTION,No caretaker,99,105,1 (1% of feedbacks),No caretaker.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",TEACHER_COMMUNICATION_RATING,Poor teaching,244,302,1 (0% of feedbacks),307 1 I said.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SATHIVEDU (DPIP)",DIET_MENU_RATING,Very disappointed,198,231,1 (0% of feedbacks),Very disappoint
